# Matched-clock run, 2026-06-04: PL0 set at runtime via CRL_APB (devmem 0xff5e00c0 = 0x01022F00,
# DIV1=2 DIV0=47 -> PL0=15.96 MHz, SCK=0.997 MHz). IOPLL_CTRL=0x00015A00 (FBDIV=90,DIV2=1 -> 1500 MHz).
# Boot FSBL value was 0x01010600 (DIV0=6 -> PL0=250 MHz -> true baseline SCK 15.625 MHz, NOT 6.25).
device,requested_hz,driver_reported_hz,size_bytes,trials,min_ns,median_ns,max_ns,throughput_Mbps_1lane
/dev/spidev0.0,1000000,1000000,1,1000,46974,49184,72377,0.163
/dev/spidev0.0,1000000,1000000,4,1000,78037,80418,95969,0.398
/dev/spidev0.0,1000000,1000000,16,1000,202800,205171,218212,0.624
/dev/spidev0.0,1000000,1000000,64,1000,702390,705500,719402,0.726
/dev/spidev0.0,1000000,1000000,256,1000,2701219,2703990,2718272,0.757
/dev/spidev0.0,1000000,1000000,1024,1000,10717301,10719071,10745404,0.764
/dev/spidev0.0,1000000,1000000,4096,1000,42774484,42776934,42794636,0.766
/dev/spidev0.0,1000000,1000000,16384,1000,171001046,171005627,171026229,0.766
/dev/spidev0.0,1000000,1000000,65536,1000,683913975,683924056,683993762,0.767
