# Control run 2026-06-04: PL0 divisor restored to boot value (devmem 0xff5e00c0 = 0x01010600,
# DIV0=6 -> PL0=250 MHz, SCK=15.625 MHz) after the 1 MHz matched-clock excursion.
# Reproduces same-day baseline within 0.2% at all sizes (64 KB median agrees to 0.0002%).
device,requested_hz,driver_reported_hz,size_bytes,trials,min_ns,median_ns,max_ns,throughput_Mbps_1lane
/dev/spidev0.0,1000000,1000000,1,1000,20602,27993,64817,0.286
/dev/spidev0.0,1000000,1000000,4,1000,19722,28253,41154,1.133
/dev/spidev0.0,1000000,1000000,16,1000,30023,32383,46984,3.953
/dev/spidev0.0,1000000,1000000,64,1000,64806,67287,78868,7.609
/dev/spidev0.0,1000000,1000000,256,1000,204340,206961,221862,9.896
/dev/spidev0.0,1000000,1000000,1024,1000,768386,771457,788149,10.619
/dev/spidev0.0,1000000,1000000,4096,1000,3022942,3026262,3040313,10.828
/dev/spidev0.0,1000000,1000000,16384,1000,12042483,12044673,12083138,10.882
/dev/spidev0.0,1000000,1000000,65536,1000,48108967,48112888,48135840,10.897
