# IN-SPEC sweep rung 2, 2026-06-04. PL0 = 50 MHz (0x01020F00, verified). Bitstream:
# ratio-8 build, md5 23b4959069ae3fb9ed9ed76c2471f4ba verified after SD I/O errors.
# True SCK = 50/8 = 6.25 MHz, in-spec. Internal loopback. 64KB = 137,248 us vs
# 137,000 predicted by the two-term model (wire + 256*208.5us); c = 208.4 us; util 61%.
device,requested_hz,driver_reported_hz,size_bytes,trials,min_ns,median_ns,max_ns,throughput_Mbps_1lane
/dev/spidev0.0,1000000,1000000,1,1000,28393,28843,65657,0.277
/dev/spidev0.0,1000000,1000000,4,1000,30663,31153,49195,1.027
/dev/spidev0.0,1000000,1000000,16,1000,55925,58296,74497,2.196
/dev/spidev0.0,1000000,1000000,64,1000,155706,158246,176228,3.235
/dev/spidev0.0,1000000,1000000,256,1000,555356,558426,574388,3.667
/dev/spidev0.0,1000000,1000000,1024,1000,2164586,2167776,2185998,3.779
/dev/spidev0.0,1000000,1000000,4096,1000,8596819,8601300,8614891,3.810
/dev/spidev0.0,1000000,1000000,16384,1000,34327190,34331900,34364673,3.818
/dev/spidev0.0,1000000,1000000,65536,1000,137241353,137247843,137280147,3.820
