# IN-SPEC sweep rung 3, 2026-06-04. PL0 = 50 MHz (0x01020F00, verified). Bitstream:
# ratio-4 build, md5 4d4760c691e3a406ad4b4cb581ad56b0 verified. True SCK = 12.5 MHz,
# in-spec. Internal loopback. 64KB = 95,293 us vs 95,300 predicted (0.01%); c = 208.4 us;
# util 44%.
device,requested_hz,driver_reported_hz,size_bytes,trials,min_ns,median_ns,max_ns,throughput_Mbps_1lane
/dev/spidev0.0,1000000,1000000,1,1000,25993,32093,59136,0.249
/dev/spidev0.0,1000000,1000000,4,1000,24333,29723,44805,1.077
/dev/spidev0.0,1000000,1000000,16,1000,48075,48455,62016,2.642
/dev/spidev0.0,1000000,1000000,64,1000,115122,117592,130533,4.354
/dev/spidev0.0,1000000,1000000,256,1000,391459,394330,409401,5.194
/dev/spidev0.0,1000000,1000000,1024,1000,1509001,1511681,4636173,5.419
/dev/spidev0.0,1000000,1000000,4096,1000,5975067,5978148,6013730,5.481
/dev/spidev0.0,1000000,1000000,16384,1000,23838452,23841622,23862444,5.498
/dev/spidev0.0,1000000,1000000,65536,1000,95286491,95293461,95354187,5.502
