bytes,avg_us,stddev_us
1,39.33,2.901
8,113.56,1.206
16,197.61,2.857
64,700.82,2.043
128,1371.78,1.254
256,2687.47,1.336
512,5317.73,1.757
1024,10577.99,4.081
4096,42137.24,1.712
16384,168371.13,3.210
65536,673322.43,2.193
