bytes,avg_us,stddev_us
1,38.47,3.612
8,113.48,2.080
16,198.00,1.709
64,700.79,1.492
128,1371.70,1.448
256,2687.30,1.244
512,5317.90,1.451
1024,10577.90,1.509
4096,42137.20,1.478
16384,168371.90,1.342
65536,673310.40,1.804
