bytes,avg_us,stddev_us
1,10.305,0.026
8,69.465,0.101
16,137.181,0.001
64,543.333,0.001
128,1084.855,0.038
256,2168.341,0.075
512,4335.317,0.085
1024,8669.234,0.093
4096,34672.767,0.094
16384,138687.380,0.167
65536,554744.821,0.436
