bytes,min_us,max_us,avg_us,stddev_us
1,10.291,50.845,14.927,3.612
8,19.842,59.886,20.429,2.080
16,23.283,58.826,27.530,1.709
64,60.346,99.410,63.066,1.492
128,106.841,134.184,109.521,1.448
256,200.210,214.821,202.729,1.244
512,388.369,405.861,391.283,1.451
1024,764.687,781.618,767.876,1.509
4096,3022.852,3039.164,3026.867,1.478
16384,12055.594,12079.737,12059.563,1.342
65536,48180.344,48205.627,48185.948,1.804
